Zeitschrift gefiltert;Fachbereich;Schlagworte;field;key word
Journal of Family Violence;Soziologie                    ;Familiensoziologie          ;sociology                    ;family sociology          
Journal of fasting and health;Medizin                    ;Ernährung          ;medicine                    ;alimentation          
Journal of Feline Medicine and Surgery;Medizin                    ;Tiermedizin          ;medicine                    ;veterinary medicine          
Journal of fertilization in vitro;Medizin;Sexualmedizin;medicine;sexual medicine
Journal of Fish Biology;Biologie                    ;Fischbiologie          ;biology                    ;fish biology          
Journal of Fish Diseases;Biologie  |  Medizin                    ;Fischbiologie  |  Tiermedizin          ;Biology | Medicine                    ;Fish Biology | Veterinary Medicine          
Journal of Fluency Disorders;Allgemeine Sprach- und Literaturwissenschaft  |  Medizin                    ;Logopädie  |  Patholinguistik          ;General Linguistics and Literature | Medicine                    ;Speech therapy | Patholinguistics          
Journal of Fluid Mechanics;Maschinenwesen, Werkstoffwissenschaften  |  Physik                    ;Strömungsmechanik          ;Mechanical Engineering, Materials Science | Physics                    ;fluid mechanics          
Journal of Fluorescence;Physik                    ;Physikalische Chemie          ;physics                    ;Physical Chemistry          
Journal of Fluorine Chemistry;Chemie und Pharmazie                    ;Anorganische Chemie          ;Chemicals and pharmaceuticals                    ;Inorganic Chemistry          
Journal of Food Engineering;Verfahrenstechnik, Biotechnologie                    ;Lebensmitteltechnologie          ;Process Engineering, Biotechnology                    ;food technology          
Journal of food processing & technology;Verfahrenstechnik, Biotechnologie                    ;Lebensmitteltechnologie          ;Process Engineering, Biotechnology                    ;food technology          
Journal of Food Science;Land- und Forstwirtschaft u.a.  |  Verfahrenstechnik, Biotechnologie                    ;Lebensmitteltechnologie          ;Agriculture and forestry, e. g. | Process engineering, biotechnology                    ;food technology          
Journal of foot and ankle research;Medizin                    ;Orthopädie  |  Sportmedizin  |  Chirurgie          ;medicine                    ;Orthopaedics | Sports Medicine | Surgery          
Journal of Forensic Dental Sciences;Medizin                    ;Zahnmedizin  |  Rechtsmedizin          ;medicine                    ;Dentistry | Legal Medicine          
Journal of Forensic Psychology Practice;Psychologie                    ;Forensische Psychologie          ;psychology                    ;Forensic Psychology          
Journal of Forensic Sciences;Medizin                    ;Rechtsmedizin          ;medicine                    ;forensic medicine          
The Journal of Forensic Psychiatry & Psychology;Medizin  |  Psychologie                    ;Forensische Psychologie  |  Psychiatrie          ;Medicine | Psychology                    ;Forensic Psychology | Psychiatry          
Journal of forest research : open access;Biologie                    ;Forstwissenschaften          ;biology                    ;forestry sciences          
Journal of Functional Biomaterials;Biologie  |  Medizin                    ;Biomaterialien          ;Biology | Medicine                    ;biomaterials          
Journal of Functional Foods;Verfahrenstechnik, Biotechnologie                    ;Lebensmitteltechnologie          ;Process Engineering, Biotechnology                    ;food technology          
Journal of fungi (Basel, Switzerland);Biologie;Mykologie;biology;mycology
Journal of Gambling Studies;Psychologie                    ;Suchtforschung          ;psychology                    ;addiction research          
Journal of Gastroenterology;Medizin                    ;Gastroenterologie          ;medicine                    ;gastroenterology          
Journal of Gastroenterology and Hepatology;Medizin                    ;Gastroenterologie  |  Hepatologie          ;medicine                    ;Gastroenterology | Hepatology          
Journal of Gastrointestinal Cancer;Medizin                    ;Onkologie  |  Gastroenterologie          ;medicine                    ;Oncology | Gastroenterology          
Journal of gastrointestinal & digestive system;Medizin                    ;Gastroenterologie  |  Hepatologie          ;medicine           ;Gastroenterology | Hepatology          
Journal of Gastrointestinal Surgery;Medizin                    ;Gastroenterologie  |  Chirurgie          ;medicine                    ;Gastroenterology | Surgery          
Journal of the Georgia Public Health Association;Medizin;Allgemeine Medizinische Zeitschriften;medicine;General medical journals
Journal of Genetic Counseling;Medizin | Psychologie;;Medicine | Psychology;
Journal of genetics and genome research;Biologie                    ;Genetik          ;biology                    ;genetics          
Journal of Genetics and Genomics;Biologie                    ;Genetik          ;biology                    ;genetics          
Journal of genetic syndrome & gene therapy;Biologie                    ;Genetik          ;biology                    ;genetics          
Journal of genetic syndromes & gene therapy;Biologie                    ;Genetik          ;biology                    ;genetics          
The Journal of Gene Medicine;Medizin                    ;Rehabilitation          ;medicine                    ;rehabilitation          
